ol_author_key,viaf_id
OL1001573A,113977764
OL1001618A,67023888
OL1001620A,269349155
OL1001630A,3194121
OL1001635A,79022450
OL1001672A,5444540
OL1001788A,1578912
OL1001838A,17523061
OL1001847A,10055959
OL1001854A,6498079
OL1002035A,111655690
OL1002111A,112542120
OL1002263A,77728484
OL1002414A,100234697
OL1002612A,111653243
OL1002615A,84188205
OL1002761A,23146153140305252375
OL1002840A,79358130
OL1002912A,108315182
OL1002914A,13873407
OL1003021A,73848054
OL1003253A,61591085
OL10032735A,92237386
OL1003287A,44829545
OL1003400A,24595583
OL1003420A,4988669
OL1003539A,16150989
OL1004383A,17820452
OL1004507A,59102552
OL1004623A,66591
OL1004630A,79284750
OL1004843A,33242261
OL1004844A,28634521
OL1004980A,53291960
OL1005135A,77112217
OL10052965A,93612308
OL1005396A,113595381
OL1005405A,23572568
OL1005658A,109024368
OL1006075A,98229889
OL1006164A,194849299
OL1006316A,108385709
OL1006326A,24663415
OL1006653A,1980
OL1007023A,29786644
OL1007159A,108682511
OL1007700A,49225202
OL1007703A,30908857
OL1007705A,35837476
OL1007893A,74637498
OL1007894A,79316726
OL1008541A,108252302
OL1008566A,39145857779523020083
OL1008572A,17221416
OL1008586A,100283612
OL1008590A,29568427
OL1008634A,56761512
OL1008672A,49270541
OL1008743A,34584944
OL1008803A,21243571
OL1008840A,100236623
OL1009454A,62399671
OL1009536A,108168484
OL1009543A,66656555
OL1009553A,20146738
OL1009650A,79074165
OL1009666A,102450179
OL1009671A,56645330
OL1009727A,275116553
OL1009783A,64010081
OL1010173A,85104698
OL1010184A,2472854
OL1010312A,33292726
OL1010800A,38469445
OL1011027A,14880660
OL1011123A,59881139
OL1011187A,54274208
OL1011263A,14816172
OL1011436A,160505679
OL1011518A,24656458
OL1011664A,115651162
OL1011691A,72601186
OL1013062A,114041772
OL1013348A,41901259
OL1013433A,77632168
OL1013472A,61724782
OL1013689A,91568132
OL1014085A,111735227
OL1014268A,273304800
OL1014392A,27799929
OL1014695A,72555235
OL1014873A,39385339
OL1015221A,72734918
OL1015289A,57204482
OL101656A,49404258
OL1016578A,12526635
OL1016619A,20479590
OL1017183A,99351524
OL1017861A,308697775
OL1018781A,12616035
OL1019486A,100304085
OL1020014A,157042679
OL1020145A,806126
OL1020397A,39710373
OL1020852A,4074469
OL10209456A,101373952
OL102296A,49398249
OL1023116A,39387350
OL102385A,22147583
OL10240A,41847346
OL1024260A,85366808
OL1024724A,88054119
OL102484A,102271932
OL1025701A,61572945
OL1026690A,71442218
OL1026950A,13725645
OL1027287A,35055211
OL1027721A,17237181
OL1028186A,96709280
OL1028235A,19640
OL1028526A,59090844
OL102871A,9231
OL1032958A,24654866
OL1033660A,37723386
OL1034117A,7534248
OL10348533A,225149066548365601349
OL1035382A,101580933
OL1035416A,44330326
OL1035876A,9968021
OL1035997A,9890106
OL1036057A,79292288
OL1036438A,94605036
OL1037130A,189826
OL1037700A,50025848
OL1038079A,95151717
OL1038967A,103953801
OL1039339A,76490556
OL1040563A,19679600
OL1040930A,109967510
OL104097A,54326504
OL1041931A,30993066
OL1042137A,85774821
