user_id,favorite_subjects
8,Alabama
8,Depressions
8,Farm Life
9,1000Blackgirlbooks
9,19Th Century
9,81354
10,Cooking
10,Food And Drink
10,International Cookery
12,Psychological Aspects
12,Success
12,Success In Business
14,African Americans
14,Best Friends
14,Fiction
16,Action Adventure
16,Adventure Fiction
16,Adventure Stories
17,Fiction
17,General
17,Large Type Books
19,Americans
19,Bildungsromans
19,Fiction
22,British And Irish Fiction Fictional Works By One Author
22,Canada
22,Canadian Fiction
26,Large Type Books
26,
26,African Americans
32,Adopted Children
32,Cherokee Indians
32,Domestic Fiction
39,Detective And Mystery Stories
39,Fiction
39,General
42,Fiction
42,Stalking Victims
42,Teenage Boys
44,Change
44,Christian
44,English Christmas Stories
51,Criminal Investigation
51,Detective And Mystery Stories
51,Fiction
53,Fiction
53,American
53,American Fiction Fictional Works By One Author
56,Fiction
56,Adventure Stories
56,Cowboy
64,[NO_SUBJECT]
67,Miscellanea
67,Philosophy
67,Slavic Philology
69,British And Irish Fiction Fictional Works By One Author
69,Chang Pian Xiao Shuo
69,Children Of The Rich
70,Adventure Stories
70,Clothing And Dress
70,Fiction
73,Dating Social Customs
73,Fiction
73,General
75,20Th Century
75,Biographie
75,Biography
78,19Th Century
78,Detective And Mystery Stories
78,English Literature -- History And Criticism
81,Anthropologists
81,Detective And Mystery Stories
81,Fiction
82,[NO_SUBJECT]
83,American Wit And Humor
83,Anecdotes
83,Etiquette
85,Atlantis
85,Atlantis Legendary Place
85,End Of The World
86,American
86,American Poets
86,Aristocracy Social Class
87,Politics And Government
87,1946-
87,2001-2009
88,Fiction
88,Western Stories
91,1991
91,Adolescence
91,American Fiction Fictional Works By One Author
92,English Fantasy Fiction
92,English Literature -- History And Criticism
92,Epic
97,American Detective And Mystery Stories
97,Detective And Mystery Stories
97,Fiction
99,Finance
99,Investments
99,Personal
102,[NO_SUBJECT]
107,Fiction
107,Jean-Luc Fictitious Character
107,Media Tie-In
109,Adolescence
109,Camps
109,Fiction
110,Fiction
114,Fiction
114,Thrillers
114,Large Type Books
125,
125,Celebrity
125,Chang Pian Xiao Shuo
129,College Teachers
129,Fiction
129,General
133,Biography
133,Humor
133,Humorists
137,College Teachers
137,Erotica
137,Fiction
141,Fantasy
141,Fiction
141,General
160,Amor
160,Ficcin
160,Fiction
162,Anthology
162,Fiction
162,General
165,Catholics
165,Dysfunctional Families
165,Family
169,College Teachers
169,Fiction
169,General
176,1939-1945
176,Adolescent
176,Adventure Stories
178,Chicago Ill
178,Fiction
178,Illinois
182,[NO_SUBJECT]
183,81354
183,American
183,American Science Fiction
185,British And Irish Fiction Fictional Works By One Author
185,Classics
185,Cornwall England County
190,Fiction
190,General
202,Detective And Mystery Stories
202,England
202,Fiction
212,Classic Literature
212,Coming Of Age
212,Family
215,Actors
215,Biography
217,Children Of Divorced Parents
217,Crimes Against
217,Fiction
224,Bildungsromans
224,Coming Of Age
224,Domestic Fiction
226,Action Adventure
226,Adventure
226,Christian Life
228,Farm Life
228,Fiction
228,General
230,Fiction
230,Friendship
230,Friendships
232,Fiction
232,British And Irish Fiction Fictional Works By One Author
232,English Language
242,Fiction
242,General
242,American Science Fiction
243,Fiction
243,Large Type Books
243,General
244,Fiction
244,General
244,Large Type Books
247,[NO_SUBJECT]
249,American Fiction
249,Fiction
249,Investigation
254,Fiction
254,General
254,Short Stories
256,Fiction
256,American Fiction
256,Arkansas
257,Fiction
257,General
257,British And Irish Fiction Fictional Works By One Author
269,[NO_SUBJECT]
272,Translations Into English
272,1991
272,Disaster
273,[NO_SUBJECT]
278,Fiction
278,Juvenile Fiction
278,Orphan
280,1991
280,Adolescence
280,American Fiction Fictional Works By One Author
289,Christian Life
289,Fiction
289,Missionary
291,Campaigns
291,Fiction
291,General
300,Computers
300,Cyberspace
300,Electronic Data Processing
302,Fiction
302,General
302,Thriller Fiction
310,[NO_SUBJECT]
313,Betrayal
313,Boston Mass
313,Father-Son Relationships
316,Family
316,Fiction
316,Hotel
323,Dolls
323,Fiction
323,Juvenile Fiction
326,Fiction
326,Fiction - Mystery Detective
326,Fiction General
332,Catholics
332,City And Town Life
332,Domestic Fiction
334,Fiction
334,General
334,Thrillers
337,1939-1945
337,Anne
337,Bilingual
339,Corporations
339,Corrupt Practices
339,Political Corruption
345,Fiction
345,Social Life And Customs
356,Detective And Mystery Stories
356,Fiction
356,Homicide
361,American Fiction Fictional Works By One Author
361,Family Life
361,Fiction
362,Large Type Books
362,Detective And Mystery Stories
362,Fiction
367,20Th Century
367,Biography
367,Geschichte
372,Adventure
372,Adventure Stories
372,Allegories
376,Description And Travel
376,Seattle Wash
376,Guidebooks
383,Fiction
383,General
383,Large Type Books
387,Feminism
387,Long Now Manual For Civilization
387,Rape Victims
388,Fiction
388,General
388,Literature
392,Biography
392,History
392,
393,Biography
393,Great Britain
393,Ouvrages Illustrs
406,Continental European Fiction
406,Detective And Mystery Stories
406,Fiction
408,Fiction
408,1861-1865
408,Civil Wars
413,Fiction
413,General
413,Juvenile Fiction
424,Fiction
424,General
424,Conduct Of Life
430,Action Adventure
430,Adventure Stories
430,English Fiction
431,British
431,Detective And Mystery Stories
431,Fiction
432,Detective And Mystery Stories
432,Puzzle
432,American Fiction
433,Large Type Books
433,Religious Fiction
433,Adventure
440,Fiction
440,Horror
440,Psychological Fiction
441,Fiction
441,General
441,Generals
444,Fiction
444,Detective And Mystery Stories
444,Thrillers
446,Fiction
446,General
446,History
447,[NO_SUBJECT]
453,Ficcin
453,Fiction
453,General
460,Description And Travel
460,History
460,Journeys
463,Australian Short Stories
463,Child And Youth Fiction
463,Dolls
472,Child Psychology
472,Diet
472,Employee Motivation
475,Fiction
475,General
475,Mothers And Daughters
476,Contemporary
476,Fiction
476,Government Investigators
479,1989-
479,American
479,Anecdotes
486,Dysfunctional Families
486,Fiction
486,Problem Families
487,Fiction
487,General
487,Large Type Books
489,Fiction
489,Humor
489,Imagination
493,American Fiction
493,Brazil
493,Death
494,British Columbia
494,Canada
494,Detective And Mystery Stories
496,Detective And Mystery Stories
496,Fiction
496,Large Type Books
499,Cancers
499,Corporations
